#	core	next	experiment
1	1546.0852329038653	2022.6055919095777	12465.041949660408
2	2695.3125	3401.0946051602814	21411.57811260904
4	3995.2057530962843	5262.108829978075	33235.12080141426
8	5424.810530514559	6870.9740386492285	39646.017699115044
16	6588.422518400636	7886.255924170616	48969.982342554445
32	7526.460211681693	10174.110522331566	52459.016393442624
64	8595.41130386122	10373.917848590901	56715.24222134698
128	8890.603897356743	12849.972113775795	58959.12263210369
256	8240.659130101552	8483.430799220272	58540.465301252734
512	9254.754283562417	13874.294316898759	59155.37848605578
1024	9321.448890574626	14035.408338092519	60318.08364421756
2048	8154.489348994624	13039.9717014503	59450.23696682465
4096	9080.178837555886	9168.520163439332	57769.2458374143
8192	9675.590551181102	7795.030837004405	55464.98223450454
16384	9521.890740023247	6505.459598967639	53009.94607549431
32768	9003.228391528335	7462.951196172249	44105.77988915281
65536	8681.955971166959	5500.623501199041	40425.52787663108
131072	7124.861192001553	5140.078431372549	38236.92002381425
262144	4838.140900972415	2923.913846153846	34829.60531457601
524288	4085.361038961039	2675.9890066745193	9968.636957813429
1048576	4274.086956521739	3057.072886297376	6993.249117300902
