#	core	next	experiment
1	2669.225983344925	3975.7970879758755	13175.41467621441
2	5509.154049720158	7734.32015325872	18237.793068448445
4	9095.070412000769	11559.564954210591	26322.979432234108
8	13008.981353131903	18174.589651842874	34746.214439422336
16	16114.300948394088	23473.94570460461	37731.99279947785
32	17531.930713653175	25688.795514641497	40427.60881945703
64	19275.10315687321	30653.23724926998	43943.26855368324
128	20794.246713751963	32769.334605627846	46621.88235849932
256	19786.836936147643	34763.50710427324	48545.52080853986
512	20077.624330787443	34007.18960127049	45891.93485098203
1024	21609.644147827155	36457.06622677621	49139.46943529542
2048	20745.872594664048	34698.22172795707	45822.39973307948
4096	21190.234037424314	28097.928286693397	46854.49777973157
8192	20360.583561492556	25214.85719923003	46764.78017945297
16384	21546.575911577198	22858.76013629092	41975.83972592398
32768	19322.325496199494	19557.3797959435	34591.080473323695
65536	15033.063984088652	13694.184934621326	32998.36657298976
131072	13550.577501736943	13265.067305907985	31965.70625272078
262144	12599.223384811043	4295.3387485137755	32282.717854190487
524288	6709.455049589517	3405.5363696397644	7827.069329257938
1048576	6342.302855765773	2656.368694127119	5154.36858787426
