#	core	next	experiment
1	278.75043835219543	287.0053528210584	3525.1840925915244
2	556.6734355150533	652.5998171537415	7526.770152426065
4	930.4182569882811	1295.0773449805984	12994.380428142178
8	1852.0848092466324	2374.459313399138	14860.380737079235
16	3624.7828041490775	4128.333144999258	16617.81954802594
32	5298.704398746482	5848.994452650092	19405.313251516127
64	7155.654665101872	8599.12472764432	20888.391914656593
128	7973.910612915679	9285.494347173793	22503.40837763876
256	8796.77709517424	9553.313666788596	21998.607850535594
512	9578.018300149935	9781.824637268883	23183.881282399812
1024	9986.56023834355	9271.88772647071	22919.266165913963
2048	9020.632013549666	8825.359399622394	22748.547275898996
4096	9320.23895812383	7857.412143789626	21597.403703468546
8192	10029.547587464245	7134.920629720048	22374.924631570935
16384	8885.028103612427	6725.896294419786	20191.92585231965
32768	9395.187095837802	7658.945210191983	21989.247006928894
65536	9295.595566138842	6265.109956293316	18703.767634532458
131072	9337.947109701561	5396.645726276966	19096.678421290162
262144	9395.67014056962	5126.311103099311	17299.738946471607
524288	9679.586814326705	3658.969443968467	16262.988847047773
1048576	9107.180019571706	4434.473859099742	17771.425016225185
