#	core	next	experiment
1	4974.633318198969	6855.88646811881	11528.294011250728
2	10173.721086476757	13533.241270467586	19713.57337507937
4	16587.583236970775	20632.055071715884	29542.33272948163
8	21228.08396886524	30380.347712573683	39814.464594988836
16	25864.448211961055	35445.14112783476	42411.152562340525
32	32120.92583845062	39254.481421392244	45914.70705460409
64	32412.6378121467	44281.64428164281	50692.06550365443
128	36567.07534817232	45776.95654765567	51367.19518432492
256	32158.23895358141	40486.31017099657	49955.11844826879
512	33779.839257866755	41638.22258713933	51187.71494841181
1024	34300.75367867088	36824.96553653072	46595.66539178283
2048	31395.609363022457	33949.94907028261	47441.48893681895
4096	31754.449806185938	24227.75579861823	41596.70045329747
8192	32991.82690409344	20960.620477352513	40089.48545861442
16384	28823.157810561777	18408.263029252055	34555.08466145471
32768	28892.645003839094	19980.089668227385	32922.28285494903
65536	29663.717938535672	17754.41923467753	26956.34120066537
131072	25816.723168123564	16973.352517985906	29207.082885677748
262144	21741.800947867017	16247.626691034873	26441.485700723802
524288	20679.52510551023	15084.409990010165	25818.51608667153
1048576	20322.847875959993	14649.238700536744	26947.626105664665
